,ExpNum,ID,CodeExclu,Answer,AverageExpertise_x,AvergeConfidence,Confidence,DelID,GuruID,ProbaDel,Unnamed: 0,Unnamed: 0.1,Weight,CodeQuestion,Proba,country,gender,gender_,unique_id,unique_id_q,AverageExpertise_y,IRTExpertise,Normalized_IRT,Normalized_IRT_1
90,E11,2,T,0.5,0.5,,,17.0,17.0,1.0,312.5,4.0,0.0,,,france,male,,E11_2,E11_2_T,0.5,0.019228643546116607,0.5894672062218556,1.789344124437111
91,E11,3,K,0.875,0.875,,,,3.0,0.0,97.5,5.0,1.0,,,france,female,,E11_3,E11_3_K,0.875,1.0914576055481928,0.8787149707551506,7.57429941510301
92,E11,3,PC,0.625,0.625,,,8.0,3.0,1.0,529.5,5.0,11.0,,,france,female,,E11_3,E11_3_PC,0.625,0.4285385814004089,0.6998839070583572,3.9976781411671443
93,E11,3,PE9,0.375,0.375,,,13.0,13.0,1.0,745.5,5.0,0.0,,,france,female,,E11_3,E11_3_PE9,0.375,-0.3174302334273208,0.4986490777942934,-0.027018444114132123
95,E11,3,T,0.5,0.5,,,26.0,3.0,1.0,313.5,5.0,2.0,,,france,female,,E11_3,E11_3_T,0.5,0.18835358932410823,0.6350908689158354,2.7018173783167097
96,E11,4,K,0.625,0.625,,,,4.0,0.0,98.5,6.0,1.0,,,france,female,,E11_4,E11_4_K,0.625,0.41535144002890906,0.6963265034650346,3.926530069300691
97,E11,4,PC,0.875,0.875,,,8.0,8.0,1.0,530.5,6.0,0.0,,,france,female,,E11_4,E11_4_PC,0.875,1.049429228523322,0.8673772672121428,7.347545344242857
98,E11,4,PE9,0.75,0.75,,,8.0,0.0,1.0,746.5,6.0,0.0,,,france,female,,E11_4,E11_4_PE9,0.75,0.7650083501497017,0.7906510210729283,5.813020421458564
100,E11,4,T,0.25,0.25,,,9.0,9.0,1.0,314.5,6.0,0.0,,,france,female,,E11_4,E11_4_T,0.25,-0.7097672540940516,0.3928110430152205,-2.1437791396955905
101,E11,5,K,0.75,0.75,,,,5.0,0.0,99.5,7.0,1.0,,,,male,,E11_5,E11_5_K,0.75,0.7417740354532311,0.7843832612710772,5.687665225421542
102,E11,5,PC,0.875,0.875,,,,5.0,0.0,531.5,7.0,3.0,,,,male,,E11_5,E11_5_PC,0.875,0.9085661581974038,0.8293776144877939,6.587552289755877
103,E11,5,PE9,0.5,0.5,,,,5.0,0.0,747.5,7.0,2.0,,,,male,,E11_5,E11_5_PE9,0.5,-0.08944947877387277,0.560149863519195,1.2029972703839018
105,E11,5,T,0.625,0.625,,,3.0,3.0,1.0,315.5,7.0,0.0,,,,male,,E11_5,E11_5_T,0.625,0.3716298265063058,0.6845320272651114,3.6906405453022284
106,E11,6,K,0.5,0.5,,,,6.0,0.0,100.5,8.0,1.0,,,france,female,,E11_6,E11_6_K,0.5,0.11281372891515926,0.6147130051099114,2.294260102198228
107,E11,6,PC,0.75,0.75,,,8.0,8.0,1.0,532.5,8.0,0.0,,,france,female,,E11_6,E11_6_PC,0.75,0.6844439163170953,0.768917712971028,5.37835425942056
108,E11,6,PE9,1.0,1.0,,,,6.0,0.0,748.5,8.0,1.0,,,france,female,,E11_6,E11_6_PE9,1.0,1.3925475321832685,0.9599379103408104,9.198758206816208
110,E11,6,T,0.875,0.875,,,,6.0,0.0,316.5,8.0,3.0,,,france,female,,E11_6,E11_6_T,0.875,1.014987994146195,0.8580862944774109,7.161725889548219
111,E11,7,K,0.875,0.875,,,0.0,0.0,1.0,101.5,9.0,0.0,,,france,male,,E11_7,E11_7_K,0.875,1.0914576055481928,0.8787149707551506,7.57429941510301
112,E11,7,PC,0.625,0.625,,,3.0,3.0,1.0,533.5,9.0,0.0,,,france,male,,E11_7,E11_7_PC,0.625,0.4285385814004089,0.6998839070583572,3.9976781411671443
113,E11,7,PE9,0.375,0.375,,,,7.0,0.0,749.5,9.0,3.0,,,france,male,,E11_7,E11_7_PE9,0.375,-0.31992780290436523,0.49797532581257786,-0.04049348374844364
115,E11,7,T,0.875,0.875,,,16.0,16.0,1.0,317.5,9.0,0.0,,,france,male,,E11_7,E11_7_T,0.875,0.9480782087995512,0.8400365061180457,6.800730122360914
116,E11,8,K,0.5,0.5,,,0.0,0.0,1.0,102.5,10.0,0.0,,,france,male,,E11_8,E11_8_K,0.5,0.11281372891515926,0.6147130051099114,2.294260102198228
117,E11,8,PC,0.625,0.625,,,3.0,8.0,1.0,534.5,10.0,4.0,,,france,male,,E11_8,E11_8_PC,0.625,0.58347354608439,0.7416796370479747,4.833592740959492
118,E11,8,PE9,0.5,0.5,,,1.0,0.0,1.0,750.5,10.0,0.0,,,france,male,,E11_8,E11_8_PE9,0.5,-0.07125551788395895,0.5650579220607097,1.301158441214195
120,E11,8,T,0.75,0.75,,,,8.0,0.0,318.5,10.0,2.0,,,france,male,,E11_8,E11_8_T,0.75,0.6133600423643256,0.7497419097015343,4.9948381940306845
121,E11,9,K,0.75,0.75,,,0.0,0.0,1.0,103.5,11.0,0.0,,,france,male,,E11_9,E11_9_K,0.75,0.7958335188673729,0.7989665128745113,5.979330257490226
122,E11,9,PC,0.875,0.875,,,,9.0,0.0,535.5,11.0,1.0,,,france,male,,E11_9,E11_9_PC,0.875,1.049429228523322,0.8673772672121428,7.347545344242857
